Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,Value
2007,A,0,C,A,N,_L_KG_080901_01,KG,PT,4.0
2008,A,0,C,A,N,_L_KG_080901_01,KG,PT,4.2
2009,A,0,C,A,N,_L_KG_080901_01,KG,PT,4.0
2010,A,0,C,A,N,_L_KG_080901_01,KG,PT,3.7
2011,A,0,C,A,N,_L_KG_080901_01,KG,PT,4.5
2012,A,0,C,A,N,_L_KG_080901_01,KG,PT,4.6
2013,A,0,C,A,N,_L_KG_080901_01,KG,PT,4.6
2014,A,0,C,A,N,_L_KG_080901_01,KG,PT,4.3
2015,A,0,C,A,N,_L_KG_080901_01,KG,PT,4.7
2016,A,0,C,A,N,_L_KG_080901_01,KG,PT,4.6
2017,A,0,C,A,N,_L_KG_080901_01,KG,PT,5.0
2018,A,0,C,A,N,_L_KG_080901_01,KG,PT,5.0
2019,A,0,C,A,N,_L_KG_080901_01,KG,PT,5.1
